膭,kuöi,xuö̀i,,,,,,
䜋,xuö́i,xuö̀i,,,,,,
䎕,hweng,hwäng,,,,,,
𤟤,hüëi,xuon,,,,,,
䴷,xwán,xuon,,,,,,
楎,hüëi,xuon,,,,,,
㨡,xuot,xuon,,,,,,
喤,hwäng,xwäng,,,,,,
韹,xuang,xwäng,,,,,,
彋,xweng,xwäng,,,,,,
㶇,xwäng,xwä̀ng,,,,,,
渾,xuon,xúon,,,,,,
棍,kùon,xúon,,,,,,
㮯,xuon,xúon,,,,,,
睴,kùon,xúon,,,,,,
俒,xuon,xùon,,,,,,
